202110001;CARLOS;AGUIRRE;CUADROS;78542564;24;946524563;0
202110002;JUAN;PALACIOS;MARROQUÍN;45245685;30;965125458;0
202110003;PEDRO;DUEÑAS;SALAS;72845125;24;945113256;0
202110004;JESÚS;SALINAS;PAREDES;71452365;26;978954689;0
202110005;ALEXANDER;MARINES;PEREZ;75495214;24;958945845;0
202110006;ALEJANDRA;CRUZ;LLERENA;75214589;29;956987741;0
202110007;KASANDRA;ORTIZ;MEDINA;95452145;24;952365478;0
202110008;MARIA;FUENTES;RIVERA;25458745;27;958458458;0
202110009;JAIME;CANO;GARCÍA;75451246;28;985468465;0
202110010;FLAVIA;RODRIGUEZ;PEÑA;42856524;33;949125465;0
